council,session_id,session_datetime,body_name,normalized_body_name,cdp_url,minutes_pdf_url
seattle,761c96b234f3,2021-03-29 21:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/ca4517b2298f?s=0,https://legistar2.granicus.com/seattle/meetings/2021/3/4712_M_City_Council_21-03-29_Full_Council_Meeting_Minutes.pdf
seattle,76754f63fed9,2021-05-03 21:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/4d171b7191c9?s=0,https://legistar2.granicus.com/seattle/meetings/2021/5/4746_M_City_Council_21-05-03_Full_Council_Meeting_Minutes.pdf
seattle,9b6de70aa7c9,2021-06-01 21:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/dab685a125bd?s=0,https://legistar2.granicus.com/seattle/meetings/2021/6/4778_M_City_Council_21-06-01_Full_Council_Meeting_Minutes.pdf
seattle,65c787e775e9,2021-06-07 21:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/6570933a6b4f?s=0,https://legistar2.granicus.com/seattle/meetings/2021/6/4783_M_City_Council_21-06-07_Committee_Minutes.pdf
seattle,204cf8da20b4,2021-07-12 21:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/63c63c398723?s=0,https://legistar2.granicus.com/seattle/meetings/2021/7/4811_M_City_Council_21-07-12_Full_Council_Meeting_Minutes.pdf
seattle,1a60d7dba27c,2021-07-26 21:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/f9dfc503bab3?s=0,https://legistar2.granicus.com/seattle/meetings/2021/7/4824_M_City_Council_21-07-26_Full_Council_Meeting_Minutes.pdf
seattle,55a112ec2038,2021-08-02 21:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/2eb693d12b93?s=0,https://legistar2.granicus.com/seattle/meetings/2021/8/4834_M_City_Council_21-08-02_Full_Council_Meeting_Minutes.pdf
seattle,7f74c8c60869,2021-10-11 21:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/e30e1c9b3da7?s=0,https://legistar2.granicus.com/seattle/meetings/2021/10/4892_M_City_Council_21-10-11_Full_Council_Meeting_Minutes.pdf
seattle,03f050e4b9fd,2021-10-18 21:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/a45e6d584119?s=0,https://legistar2.granicus.com/seattle/meetings/2021/10/4893_M_City_Council_21-10-18_Full_Council_Meeting_Minutes.pdf
oakland,7b2fd03094be,2022-01-18 21:00:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/457cf8a0f5e3?s=0,https://oakland.legistar1.com/oakland/meetings/2022/1/8644_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_22-01-18_Meeting_Minutes.pdf
oakland,bd2d23bae1e5,2022-02-15 21:00:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/f204c8b40644?s=0,https://oakland.legistar1.com/oakland/meetings/2022/2/8647_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_22-02-15_Meeting_Minutes.pdf
oakland,c658b9361f53,2022-02-17 23:30:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/2565052f0376?s=0,https://oakland.legistar1.com/oakland/meetings/2022/2/8658_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_22-02-17_Meeting_Minutes.pdf
oakland,c63f15c4d07d,2022-03-01 21:30:00+00:00,* Concurrent Meeting of the Oakland Redevelopment Successor Agency and the City Council,full council,https://councildataproject.org/oakland/#/events/0e44c06eaf1d?s=0,https://oakland.legistar1.com/oakland/meetings/2022/3/8648_M___Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_and_the_City_Council_22-03-01_Meeting_Minutes.pdf
oakland,dfd3c9be4dc4,2022-03-15 18:00:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/a9ed0678f975?s=0,https://oakland.legistar1.com/oakland/meetings/2022/3/8664_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_22-03-15_Meeting_Minutes.pdf
oakland,5e4dcb4f6671,2022-03-29 20:30:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/300d384beefc?s=0,https://oakland.legistar1.com/oakland/meetings/2022/3/8682_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_22-03-29_Meeting_Minutes.pdf
richmond,80f37be5c828,2022-01-24 23:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/6d6bde0ab1a7?s=0,https://legistar2.granicus.com/richmondva/meetings/2022/1/3993_M_City_Council_22-01-24_Summary.pdf
seattle,fac21bef0fe4,2022-01-04 22:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/b9dc471d7896?s=0,https://legistar2.granicus.com/seattle/meetings/2022/1/4940_M_City_Council_22-01-04_Full_Council_Meeting_Minutes.pdf
seattle,cabba986bb94,2022-02-15 22:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/11da3ccb7711?s=0,https://legistar2.granicus.com/seattle/meetings/2022/2/5003_M_City_Council_22-02-15_Full_Council_Meeting_Minutes.pdf
seattle,4c0dd83be2e8,2022-03-29 21:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/a6c516da1a2a?s=0,https://legistar2.granicus.com/seattle/meetings/2022/3/5062_M_City_Council_22-03-29_Full_Council_Meeting_Minutes.pdf
